"         1         0        90        45         0       300        20     10.01    150.01        92        96"
      0.00     -3.87      3.74       0
      0.00     -5.94      6.04
      0.00    -10.02     13.36
      0.00    -17.08     25.49
      0.00    -21.17     30.27
      0.00    -23.52     30.68
      0.00    -27.74     37.87
      0.00    -32.29     45.12
      0.00    -37.85     51.34
      0.00    -44.44     71.17
      0.00    -50.93     78.21
      0.00    -63.45    106.25
      0.00    -74.79     99.98
      0.00    -84.51     81.18
      0.00    -97.09     96.29
      0.00   -130.65    154.74
      0.00   -162.51    114.43
      0.00   -175.11     91.52
      0.00   -200.67     93.67
      0.00   -227.84    124.49
      0.00   -265.24    130.10
      0.00   -294.93    111.06
      0.00   -296.69    122.70
      0.00   -339.81     36.23
      0.00   -464.06     84.39
      0.00   -681.98    133.06
      0.00  -1296.95    809.18
      0.00  -2238.86    114.41
      0.00  -2528.41    111.44
     45.00     -0.32      0.04       0
     45.00     -0.79      0.52
     45.00     -3.27      1.77
     45.00     -3.42      2.13
     45.00     -8.53      8.34
     45.00    -12.87     16.02
     45.00    -16.06     22.24
     45.00    -19.01     28.57
     45.00    -21.72     31.62
     45.00    -23.72     29.66
     45.00    -29.18     43.22
     45.00    -36.77     50.72
     45.00    -44.57     74.55
     45.00    -51.37     74.37
     45.00    -64.12    112.33
     45.00    -74.16     94.87
     45.00    -83.95     77.47
     45.00    -97.09     96.29
     45.00   -130.65    154.74
     45.00   -162.51    114.43
     45.00   -175.11     91.52
     45.00   -200.67     93.67
     45.00   -227.84    124.49
     45.00   -265.24    130.10
     45.00   -294.93    111.06
     45.00   -296.69    122.70
     45.00   -339.81     36.23
     45.00   -464.06     84.39
     45.00   -681.98    133.06
     45.00  -1296.95    809.18
     45.00  -2238.86    114.41
     45.00  -2528.41    111.44
     90.00     -1.69      0.92       0
     90.00     -2.09      4.85
     90.00     -2.95      1.49
     90.00     -6.79      8.06
     90.00    -10.85     13.03
     90.00    -13.25     15.43
     90.00    -14.57     20.81
     90.00    -18.48     31.45
     90.00    -20.84     35.53
     90.00    -23.53     35.53
     90.00    -28.15     39.61
     90.00    -31.62     47.68
     90.00    -38.47     55.38
     90.00    -45.02     73.85
     90.00    -52.63     74.74
     90.00    -64.61    114.92
     90.00    -73.67     91.21
     90.00    -83.84     77.05
     90.00    -97.09     96.29
     90.00   -130.65    154.74
     90.00   -162.51    114.43
     90.00   -175.11     91.52
     90.00   -200.67     93.67
     90.00   -227.84    124.49
     90.00   -265.24    130.10
     90.00   -294.93    111.06
     90.00   -296.69    122.70
     90.00   -339.81     36.23
     90.00   -464.06     84.39
     90.00   -681.98    133.06
     90.00  -1296.95    809.18
     90.00  -2238.86    114.41
     90.00  -2528.41    111.44
